group,group_skus.0,options.0,options.1,name,fields.description,sku,mpn,upc,pricing_item.price.amount,pricing_item.msrp.amount,fields.package_height.value,fields.package_width.value,fields.package_length.value,fields.weight.value,fields.package_weight.value,fields.abn_size,fields.target_color,fields.garment_length,fields.closure_type,fields.size_grouping,fields.pattern,fields.pattern_group,fields.color,fields.size,fields.brand,fields.material,fields.bullet_1,fields.bullet_2,fields.bullet_3,fields.bullet_4,fields.bullet_5,fields.material_percentage,fields.material_percentage_2,fields.material_2,fields.material_percentage_3,fields.material_3,fields.fabric_weight_type,fields.garment_fit,fields.garment_collar_type,fields.garment_construction_details,fields.garment_hem_type,fields.garment_neckline_type,fields.garment_sleeve_length_type,fields.garment_torso_length,fields.gender,fields.textile_dry_recommendation,fields.textile_wash_recommendation,fields.subtype,fields.garment_inseam_measurement,fields.garment_leg_length_type,fields.bullet_6,fields.garment_rise,fields.garment_waist_closure,fields.upf_rating,fields.garment_protection_and_safety,fields.targeted_audience,fields.garment_closure_type_tops,fields.apparel_material_1,fields.apparel_material_1_percentage,fields.apparel_material_2,fields.apparel_material_2_percentage,fields.garment_back_type,fields.garment_sleeve_style,fields.fabric_treatment,fields.garment_cuff_type,fields.package_quantity,fields.top_style,fields.bullet_7,fields.bullet_8,fields.sport_age_category,fields.sport_used_for,fields.license_personality,fields.license_property,fields.textile_construction,fields.apparel_material_3,fields.apparel_material_3_percentage,fields.garment_waist_closure_type,images.default.main.url,images.default.1.alternate.url,images.default.2.alternate.url,images.default.3.alternate.url,images.default.4.alternate.url,images.default.5.alternate.url,images.default.6.alternate.url
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Pearl Grey, Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780PGRL,VE-M780PGRL,196058577257,24.99,24.99,1,8,12,0.12,0.22,Large,Gray,,Pull-On,Kids,Solid,Solid,Pearl Grey,Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/1/aee98e4333f85600101b5563499efdf1.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/2cdeae1407a5834ea84c8d44a819c642.jpg,,,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Water Blue, Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780WBLL,VE-M780WBLL,196059405658,24.99,24.99,1,8,12,0.12,0.22,Large,Blue,,Pull-On,Kids,Solid,Solid,Water Blue,Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/3/3549f8375acffabca952b2d9e3881f4d.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/1c5fc26bbf8ce3e662374b49c1514000.jpg, https://images.acenda-static.com/vaporapparel/product/original/8/864bf82430f672a39d9ad5a803379848.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/2ed6e4bd6bc65d2bf622c5df20b50267.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/151083f3929459813d7c47093406c004.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/29b9d5857f41363128784ff7061441b8.jpg,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - White, Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780WHIL,VE-M780WHIL,196058577509,24.99,24.99,1,8,12,0.12,0.22,Large,White,,Pull-On,Kids,Solid,Solid,White,Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/1/d0d91831e4e6c4cad39d4450832fa636.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/fc111eb07053869a56612a4ce0519aa0.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/d28809135b229d29e6dc3f454e5bcd18.jpg, https://images.acenda-static.com/vaporapparel/product/original/4/4b02135f4e29e0fdfea7f6748e914022.jpg,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Safety Yellow, Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780SYEL,VE-M780SYEL,196058577455,24.99,24.99,1,8,12,0.12,0.22,Large,Yellow,,Pull-On,Kids,Solid,Solid,Safety Yellow,Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/4/415f3939cc133958468c927c2284a65c.jpg, https://images.acenda-static.com/vaporapparel/product/original/4/4db07e2ca0faaa80e0b72e8308aa45a1.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/d6bb97b67df439efb36fd2a3c57088dd.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/2a85f56efe23ba667de3cdbc7007bebf.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/d35fda77d51400d02bf6377dd298f5f5.jpg,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Navy, Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780NVYL,VE-M780NVYL,196059262411,24.99,24.99,1,8,12,0.12,0.22,Large,Blue,,Pull-On,Kids,Solid,Solid,Navy,Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/6/60d502e1689bb4430f407023503aae98.jpg, https://images.acenda-static.com/vaporapparel/product/original/6/6135d3884c247ebc20524fe7cd66f4a8.jpg, https://images.acenda-static.com/vaporapparel/product/original/4/4fe608003e16e5863223c9edf2e36103.jpg,,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Arctic Blue, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780ABLXL,VE-M780ABLXL,196058577110,24.99,24.99,1,8,12,0.12,0.22,X Large,Blue,,Pull-On,Kids,Solid,Solid,Arctic Blue,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/1/b12f8505bbe78ca825be7cff309132c9.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/e1ad143be0877b1805ca5128dc208b9e.jpg,,,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Athletic Grey, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780AGRXL,VE-M780AGRXL,196058577165,24.99,24.99,1,8,12,0.12,0.22,X Large,Gray,,Pull-On,Kids,Solid,Solid,Athletic Grey,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/5/530c177c74c4bcf8ebe69b7aa176be1a.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/feb4162efc01364ed0005fad69f2ab16.jpg,,,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt, Sandbar, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780SDBXL,,196059405719,24.99,24.99,1,8,12,,0.12,X Large,Yellow,,Pull-On,Kids,Solid,Solid,Sandbar,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/1/017ac7abd7bce06b1105bfdeee07acc0.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/ed7e86b9046c3d7f0c9826d63e6928ba.jpg,,,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Columbia Blue, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780CBLXL,VE-M780CBLXL,196058577219,24.99,24.99,1,8,12,0.12,0.22,X Large,Blue,,Pull-On,Kids,Solid,Solid,Columbia Blue,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/4/42f4ecf7993c12d92bc736a2c3ce9ac1.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/dc34ac0311f550275372ed83d8b1a0bf.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/02c7d2ed68886a1171bb5b37a2cd9057.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/fce8ad576d76ebd7691a7277021237a9.jpg,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Black, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780BLKXL,VE-M780BLKXL,196058438657,24.99,24.99,1,8,12,0.12,0.22,X Large,Black,,Pull-On,Kids,Solid,Solid,Black,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/1/bf102e529427db08ce46069ec6155869.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/f6506bb920850b2e520c3555627c623b.jpg, https://images.acenda-static.com/vaporapparel/product/original/4/43848c7aa67f08e4deec51999bcace75.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/d8745dd16b73b12e21ae464440adbaeb.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/bf55ce390230aa93c3517ef48a5d0a17.jpg,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Pink Blossom, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780PKBXL,VE-M780PKBXL,196058577318,24.99,24.99,1,8,12,0.12,0.22,X Large,Pink,,Pull-On,Kids,Solid,Solid,Pink Blossom,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/4/43632bbe10f717e854d61a4c08df0686.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/c94b5bb667e1660ecfb0e6f4f3a331fb.jpg, https://images.acenda-static.com/vaporapparel/product/original/4/45c90a49260f0af7e57a1d6f5eacd7b5.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/ae4c7231f11f9a478f19e299ed057694.jpg,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Pale Yellow, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780PYEXL,VE-M780PYEXL,196058577363,24.99,24.99,1,8,12,0.12,0.22,X Large,Yellow,,Pull-On,Kids,Solid,Solid,Pale Yellow,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/1/cf6812ee1d95a8fe539772d6ca8748ab.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/d88eb3c8922262bfc3cbe4216a26fd52.jpg,,,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Catmint, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780CTMXL,VE-M780CTMXL,196059405764,24.99,24.99,1,8,12,0.12,0.22,X Large,Purple,,Pull-On,Kids,Solid,Solid,Catmint,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/1/d6fdeb82f50436869b8d9943fa203aa2.jpg, https://images.acenda-static.com/vaporapparel/product/original/8/8bdc329c988a596c602b541493222367.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/a4966fe3696906ce330c4941c94075b1.jpg,,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Seagrass, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780SGRXL,VE-M780SGRXL,196058577417,24.99,24.99,1,8,12,0.12,0.22,X Large,Green,,Pull-On,Kids,Solid,Solid,Seagrass,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/2/2a5db4fc5a46893b2363ea397916623c.jpg, https://images.acenda-static.com/vaporapparel/product/original/7/74ce1984494b8fbf1b19dbf6dbf2548e.jpg,,,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Pearl Grey, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780PGRXL,VE-M780PGRXL,196058577264,24.99,24.99,1,8,12,0.12,0.22,X Large,Gray,,Pull-On,Kids,Solid,Solid,Pearl Grey,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/1/aee98e4333f85600101b5563499efdf1.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/2cdeae1407a5834ea84c8d44a819c642.jpg,,,,,
variant,variant-24,,,"Vapor Apparel Youth UPF 50+ UV Sun Protection Solar Long Sleeve Rash Guard Swim Shirt - Water Blue, X Large","The Youth Solar Long Sleeve is for adventure or daily wear. Offers UPF 50+ sun protection and cooling performance qualities while kids are swimming at the pool or the beach, playing sports, riding bikes, and more. In colder weather, it’s an excellent base layer for wicking and warmth without adding bulk. Countless hours of outdoor activities have been logged in our shirts. Plus, wearing a UPF 50+ shirt means less chemical sunscreen on children's skin and in the pool.",VA-M780WBLXL,VE-M780WBLXL,196059405665,24.99,24.99,1,8,12,0.12,0.22,X Large,Blue,,Pull-On,Kids,Solid,Solid,Water Blue,X Large,Vapor Apparel,Polyester,"Moisture-wicking, multi-season, odor-resistant, quick-drying fabric","Light, soft, and comfortable microfiber fabric won't cling or stretch out",UPF 50+ sun protection,Protects longer than SPF 50+ sunscreen lotion,Hits below the hip to prevent riding up while active,100,,,,,Year Round Fabric Construction,Regular Fit,No Collar,Double-Stitched Seam,Plain Hem,Round,Long Sleeve,Below Hip,Gender Neutral,Tumble Dry,Machine Wash,Athletic T-Shirts,,,Trimmer fit through the body - not too tight or baggy,,,UPF 50+,,Adult (18 Years and Up),Pull-On,Polyester,100,,,,,UV Protection Treatment,,,,,,,,,,Flat,,,,https://images.acenda-static.com/vaporapparel/product/original/3/3549f8375acffabca952b2d9e3881f4d.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/1c5fc26bbf8ce3e662374b49c1514000.jpg, https://images.acenda-static.com/vaporapparel/product/original/8/864bf82430f672a39d9ad5a803379848.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/2ed6e4bd6bc65d2bf622c5df20b50267.jpg, https://images.acenda-static.com/vaporapparel/product/original/1/151083f3929459813d7c47093406c004.jpg, https://images.acenda-static.com/vaporapparel/product/original/2/29b9d5857f41363128784ff7061441b8.jpg,
